id_amat;id_via;anagrafica;gerarchia;rete;tipologia;sede;marcia;norma;fine_lavor;lunghezza;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
587;"6302";VIA CALDERA;;ciclabile;ciclabile sede propria;marciapiede;bidirezionale;corsia ciclabile;"2007";"124";9.10020765829239;45.4775303723342;"(45.47753037233419, 9.100207658292385)"
588;"1023";VIA ANCONA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - discorde;corsia ciclabile;"2000";"52";9.18680183108463;45.4738576176816;"(45.47385761768156, 9.186801831084626)"
589;"1108";VIA MELCHIORRE GIOIA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"1999";"135";9.20683318774107;45.4947921991227;"(45.494792199122664, 9.206833187741074)"
590;"7112";VIA AGOSTINO BERTANI;;ciclabile;ciclabile sede propria;marciapiede;bidirezionale;corsia ciclabile;"1998";"166";9.17409287863242;45.4766743119196;"(45.47667431191956, 9.174092878632422)"
591;"6174";VIA VENTI SETTEMBRE;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;"1989";"10";9.16946540275262;45.4694015141315;"(45.469401514131526, 9.169465402752618)"
592;"6174";VIA VENTI SETTEMBRE;;ciclabile;ciclabile sede propria;parterre;monodirezionale - concorde;corsia ciclabile;"1989";"180";9.16857096720744;45.4688216936235;"(45.468821693623546, 9.168570967207444)"
593;"6291";VIA DOMENICO CIMAROSA;;ciclabile;ciclabile sede propria;carreggiata;bidirezionale;corsia ciclabile;"1989";"11";9.15860023756633;45.4653802047403;"(45.46538020474034, 9.158600237566333)"
594;"1022";VIA DEI CAVALIERI DEL SANTO SEPOLCRO;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - discorde;corsia ciclabile;"2000";"102";9.18574932887579;45.4736496062112;"(45.473649606211175, 9.18574932887579)"
595;"7087";VIALE GIORGIO BYRON;;ciclabile;ciclabile sede propria;carreggiata;bidirezionale;corsia ciclabile;"1998";"165";9.17575903611434;45.4766257651346;"(45.47662576513458, 9.17575903611434)"
596;"7110";VIA PIETRO E MARIA CURIE;;ciclabile;ciclabile sede propria;ponte;bidirezionale;corsia ciclabile;"2001";"162";9.17197146719012;45.4712807346312;"(45.471280734631215, 9.171971467190119)"
597;"7098";VIALE GADIO;;ciclabile;ciclabile sede propria;marciapiede;bidirezionale;corsia ciclabile;"1999";"136";9.18087130094497;45.4735868830313;"(45.47358688303126, 9.180871300944972)"
598;"1108";VIA MELCHIORRE GIOIA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"2022";"126";9.19399853545347;45.4834374694789;"(45.48343746947886, 9.193998535453474)"
599;"1010";CORSO GIUSEPPE GARIBALDI;;ciclabile;ciclabile segnaletica;marciapiede;bidirezionale;corsia ciclabile;"2000";"26";9.1837182736362;45.4733246212518;"(45.473324621251756, 9.183718273636195)"
600;"7110";VIA PIETRO E MARIA CURIE;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"2001";"10";9.172678547155;45.4718391081346;"(45.47183910813463, 9.172678547155002)"
601;"7082";VIA LEGNANO;;ciclabile;ciclabile sede propria;marciapiede;bidirezionale;corsia ciclabile;"1998";"218";9.18114751732668;45.4760100112536;"(45.476010011253585, 9.181147517326675)"
602;"1067";PIAZZA PAOLO VI;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - discorde;corsia ciclabile;"2000";"41";9.18475632034139;45.4734635817473;"(45.47346358174728, 9.184756320341393)"
603;"6108";VIA GIUSEPPE DEZZA;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;"1989";"12";9.16069780312032;45.4607693535167;"(45.46076935351665, 9.160697803120325)"
